Organizacion,Accept,Pending,Rejected,Total_Emitidas
Acreditta,517,580,7,1104
IAB BRASIL,168,39,0,207
Universidad Rosario,2611,4424,1,7036
ASCUN,309,180,1,490
Scrum_AIBE.S,449,132,0,581
Banco Agricola,15,0,0,15
Banco Agromercantil Guatemala,2,0,0,2
Bancolombia,913,378,0,1291
Bayer,145,108,0,253
BCI,3168,3084,9,6261
BEDU,123,25,0,148
Campus Party Col,0,0,0,0
Captti LLC,3,1,0,4
Colsubsidio,320,411,0,731
CVTCenter,30,15,0,45
El Puerto de Liverpool,8131,3424,1,11556
Ensena Colombia ,626,281,0,907
Los Libertadores,1374,1348,1,2723
Fundacion Resiliencia,0,0,0,0
IAB,168,39,0,207
LEAN7,44,20,0,64
Pre-Academy,14,10,0,24
Reaudo Bogota,51,35,1,87
RECLA,266,203,0,469
REDHAT,10,6,0,16
Talento Digital Chile,1,0,0,1
TECHO,709,1841,3,2553
TechXpertGuru,261,85,0,346
U. Autonoma,533,1470,0,2003
U. Benito Juarez,857,75,1,933
CENFOTEC,122,24,0,146
CUC,1631,11853,3,13487
U. El Bosque,375,263,0,638
Pontificia Bolivariana,641,177,1,819
U. Rafael L,0,0,0,0
