Organizacion,Accept,Pending,Rejected,Total_Emitidas,Banda
Acreditta,470,487,10,967,5000
ASCUN,220,139,1,360,500
Banco Agricola,15,0,0,15,1
Banco Agromercantil Guatemala,2,0,0,2,1
Bancolombia,911,380,0,1291,1000
Bayer,131,107,0,238,500
BCI,3165,3088,9,6262,10000
BEDU,69,15,0,84,500
Campus Party Col,0,0,0,0,500
Captti LLC,3,1,0,4,500
CENFOTEC,111,17,0,128,500
Colsubsidio,286,445,0,731,2000
CUC,1073,1649,3,2725,15000
CVTCenter,28,12,0,40,500
El Puerto de Liverpool,8028,3441,0,11469,10000
Ensena Colombia,616,291,0,907,876
Fundacion Resiliencia,0,0,0,0,500
IAB,32,11,0,43,500
IAB BRASIL,32,11,0,43,500
LEAN7,1,2,0,3,500
Los Libertadores,1203,1261,1,2465,1
Pontificia Bolivariana,587,177,1,765,2000
Pre-Academy,1,0,0,1,500
Reaudo Bogota,2,0,0,2,2000
RECLA,266,203,0,469,1
REDHAT,10,6,0,16,500
Scrum_AIBE.S,412,126,0,538,1000
Talento Digital Chile,1,0,0,1,500
TECHO,705,1845,3,2553,2382
TechXpertGuru,233,79,0,312,2000
U. Autonoma,532,1471,0,2003,1000
U. Benito Juarez,603,23,0,626,2000
U. El Bosque,135,95,0,230,2000
U. Rafael L,0,0,0,0,700
Universidad Rosario,2026,3044,1,5071,20000
